2016-08-21 22:22:51,770 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SilverBarsMarketplace:SilverBarsMarketplace:0.0.1-SNAPSHOT @ C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\pom.xml.
2016-08-21 22:29:22,856 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:29:22,860 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:29:22,870 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:29:35,245 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-08-21 22:30:42,154 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:30:42,163 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
2016-08-21 22:30:42,167 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:30:42,174 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\test\resources
2016-08-21 22:31:11,520 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-21 22:31:11,527 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\jasongorman\Documents\GitHub\SilverBars\SilverBarsMarketplace\src\main\resources
